Data;Cota;Fator Acumulado CDI
2017-04-19;1,38601040;1,33769859
2017-04-20;1,38351460;1,33825890
2017-04-24;1,38128260;1,33881944
2017-04-25;1,38217760;1,33938022
2017-04-26;1,37757500;1,33994123
2017-04-27;1,38018710;1,34050248
2017-04-28;1,37767420;1,34106396
2017-05-02;1,37891770;1,34162568
2017-05-03;1,38065210;1,34218763
2017-05-04;1,38584830;1,34274982
2017-05-05;1,39284760;1,34331224
2017-05-08;1,38881160;1,34387490
2017-05-09;1,38408010;1,34443779
2017-05-10;1,38623850;1,34500092
2017-05-11;1,38785720;1,34556429
2017-05-12;1,39029510;1,34612789
2017-05-15;1,39238160;1,34669173
2017-05-16;1,39066580;1,34725580
2017-05-17;1,39908550;1,34782011
2017-05-18;1,38974360;1,34838466
2017-05-19;1,38387110;1,34894944
2017-05-22;1,38775880;1,34951446
2017-05-23;1,37999250;1,35007972
2017-05-24;1,37768850;1,35064521
2017-05-25;1,38089540;1,35121094
2017-05-26;1,37671890;1,35177691
2017-05-29;1,37649390;1,35234311
2017-05-30;1,37718500;1,35290955
2017-05-31;1,38497750;1,35347623
2017-06-01;1,38593590;1,35404315
2017-06-02;1,38673700;1,35456220
2017-06-05;1,39265670;1,35508145
2017-06-06;1,38892190;1,35560090
2017-06-07;1,38738980;1,35612055
2017-06-08;1,38777860;1,35664040
2017-06-09;1,38482880;1,35716045
2017-06-12;1,38868690;1,35768070
2017-06-13;1,39085030;1,35820115
2017-06-14;1,39315380;1,35872180
2017-06-16;1,39134650;1,35924265
2017-06-19;1,39087240;1,35976370
2017-06-20;1,39420050;1,36028495
2017-06-21;1,39128530;1,36080640
2017-06-22;1,39235210;1,36132805
2017-06-23;1,39048330;1,36184990
2017-06-26;1,39316570;1,36237195
2017-06-27;1,39334750;1,36289420
2017-06-28;1,39059480;1,36341665
2017-06-29;1,39047070;1,36393930
2017-06-30;1,39432530;1,36446215
2017-07-03;1,38843180;1,36498520
2017-07-04;1,38871050;1,36550845
2017-07-05;1,38691260;1,36603190
2017-07-06;1,38976350;1,36655555
2017-07-07;1,38990980;1,36707940
2017-07-10;1,38560360;1,36760345
2017-07-11;1,38589930;1,36812770
2017-07-12;1,39573330;1,36865215
2017-07-13;1,39550896;1,36917680
2017-07-14;1,39604841;1,36970165
2017-07-17;1,39357370;1,37022671
2017-07-18;1,39401072;1,37075197
2017-07-19;1,39812656;1,37127743
2017-07-20;1,40083130;1,37180309
2017-07-21;1,39601130;1,37232895
2017-07-24;1,39567392;1,37285501
2017-07-25;1,40195090;1,37338127
2017-07-26;1,39767067;1,37390774
2017-07-27;1,39665708;1,37443441
2017-07-28;1,39635150;1,37491152
2017-07-31;1,39861652;1,37538879
2017-08-01;1,39828531;1,37586623
2017-08-02;1,40188095;1,37634383
2017-08-03;1,40583664;1,37682160
2017-08-04;1,40151459;1,37729953
2017-08-07;1,39987024;1,37777763
2017-08-08;1,40168434;1,37825590
2017-08-09;1,40638972;1,37873433
2017-08-10;1,40511251;1,37921293
2017-08-11;1,40403788;1,37969169
2017-08-14;1,40134892;1,38017062
2017-08-15;1,40496285;1,38064972
2017-08-16;1,40089871;1,38112898
2017-08-17;1,40205690;1,38160841
2017-08-18;1,41266418;1,38208801
2017-08-21;1,40725837;1,38256777
2017-08-22;1,41117611;1,38304770
2017-08-23;1,41015049;1,38352780
2017-08-24;1,40469744;1,38400806
2017-08-25;1,41123177;1,38448849
2017-08-28;1,41118179;1,38496909
2017-08-29;1,41105519;1,38544985
2017-08-30;1,40424861;1,38593078
2017-08-31;1,40400742;1,38641188
2017-09-01;1,40724637;1,38689314
2017-09-04;1,41026953;1,38737457
2017-09-05;1,41681773;1,38785617
2017-09-06;1,42712696;1,38833793
2017-09-08;1,42876105;1,38881986
2017-09-11;1,43120174;1,38925121
2017-09-12;1,43789504;1,38968270
2017-09-13;1,44032302;1,39011432
2017-09-14;1,43943356;1,39054608
2017-09-15;1,43883919;1,39097797
2017-09-18;1,44181191;1,39140999
2017-09-19;1,44613495;1,39184215
2017-09-20;1,46066444;1,39227444
2017-09-21;1,45664519;1,39270687
2017-09-22;1,46022206;1,39313943
2017-09-25;1,46667536;1,39357213
2017-09-26;1,46511108;1,39400496
2017-09-27;1,46033823;1,39443792
2017-09-28;1,46003538;1,39487102
2017-09-29;1,45634955;1,39530425
2017-10-02;1,45686596;1,39573762
2017-10-03;1,45862846;1,39617112
2017-10-04;1,44995370;1,39660476
2017-10-05;1,45627155;1,39703853
2017-10-06;1,45406443;1,39747244
2017-10-09;1,45493882;1,39790648
2017-10-10;1,45598664;1,39834066
2017-10-11;1,45164236;1,39877497
2017-10-13;1,45046585;1,39920942
2017-10-16;1,44456832;1,39964400
2017-10-17;1,44901565;1,40007872
2017-10-18;1,44973638;1,40051357
2017-10-19;1,44886104;1,40094856
2017-10-20;1,44982987;1,40138368
2017-10-23;1,45014323;1,40181894
2017-10-24;1,44877675;1,40225433
2017-10-25;1,44871331;1,40268986
2017-10-26;1,45235055;1,40312552
2017-10-27;1,46138370;1,40352255
2017-10-30;1,45567147;1,40391970
2017-10-31;1,44731605;1,40431696
2017-11-01;1,44763248;1,40471433
2017-11-03;1,44417983;1,40511181
2017-11-06;1,45039663;1,40550941
2017-11-07;1,44654607;1,40590712
2017-11-08;1,45459960;1,40630494
2017-11-09;1,45157557;1,40670287
2017-11-10;1,45442317;1,40710092
2017-11-13;1,44647694;1,40749908
2017-11-14;1,43775248;1,40789735
2017-11-16;1,42864621;1,40829573
2017-11-17;1,42724769;1,40869423
2017-11-20;1,42753817;1,40909284
2017-11-21;1,42317734;1,40949156
2017-11-22;1,42495105;1,40989040
2017-11-23;1,42761735;1,41028935
2017-11-24;1,42781299;1,41068841
2017-11-27;1,42777254;1,41108758
2017-11-28;1,42945452;1,41148687
2017-11-29;1,42339919;1,41188627
2017-11-30;1,42350811;1,41228578
2017-12-01;1,42674767;1,41268541
